SYMBOL,COUNTRY,SECURITYNAME,SECTOR,INDUSTRY,CURRENCY
'LNC','US','Lincoln Financial','Financials','Multi-line Insurance','USD'
'LIN','US','Linde plc','Materials','Industrial Gases','USD'
'LYV','US','Live Nation Entertainment','Communication Services','Movies & Entertainment','USD'
'LKQ','US','LKQ Corporation','Consumer Discretionary','Distributors','USD'
'LMT','US','Lockheed Martin','Industrials','Aerospace & Defense','USD'
'L','US','Loews Corporation','Financials','Multi-line Insurance','USD'
'LOW','US','Lowe''s','Consumer Discretionary','Home Improvement Retail','USD'
'LYB','US','LyondellBasell','Materials','Specialty Chemicals','USD'
'MTB','US','M&T Bank','Financials','Regional Banks','USD'
'MRO','US','Marathon Oil','Energy','Oil & Gas Exploration & Production','USD'
'MPC','US','Marathon Petroleum','Energy','Oil & Gas Refining & Marketing','USD'
'MKTX','US','MarketAxess','Financials','Financial Exchanges & Data','USD'
'MAR','US','Marriott International','Consumer Discretionary','Hotels, Resorts & Cruise Lines','USD'
'MMC','US','Marsh McLennan','Financials','Insurance Brokers','USD'
'MLM','US','Martin Marietta Materials','Materials','Construction Materials','USD'
'MAS','US','Masco','Industrials','Building Products','USD'
'MA','US','Mastercard','Financials','Transaction & Payment Processing Services','USD'
'MTCH','US','Match Group','Communication Services','Interactive Media & Services','USD'
'MKC','US','McCormick & Company','Consumer Staples','Packaged Foods & Meats','USD'
'MCD','US','McDonald''s','Consumer Discretionary','Restaurants','USD'
'MCK','US','McKesson','Health Care','Health Care Distributors','USD'
'MDT','US','Medtronic','Health Care','Health Care Equipment','USD'
'MRK','US','Merck & Co.','Health Care','Pharmaceuticals','USD'
'META','US','Meta Platforms','Communication Services','Interactive Media & Services','USD'
'MET','US','MetLife','Financials','Life & Health Insurance','USD'
'MTD','US','Mettler Toledo','Health Care','Life Sciences Tools & Services','USD'
'MGM','US','MGM Resorts','Consumer Discretionary','Casinos & Gaming','USD'
'MCHP','US','Microchip Technology','Information Technology','Semiconductors','USD'
'MU','US','Micron Technology','Information Technology','Semiconductors','USD'
'MSFT','US','Microsoft','Information Technology','Systems Software','USD'
'MAA','US','Mid-America Apartment Communities','Real Estate','Residential REITs','USD'
'MRNA','US','Moderna','Health Care','Biotechnology','USD'
'MHK','US','Mohawk Industries','Consumer Discretionary','Home Furnishings','USD'
'MOH','US','Molina Healthcare','Health Care','Managed Health Care','USD'
'TAP','US','Molson Coors Beverage Company','Consumer Staples','Brewers','USD'
'MDLZ','US','Mondelez International','Consumer Staples','Packaged Foods & Meats','USD'
'MPWR','US','Monolithic Power Systems','Information Technology','Semiconductors','USD'
'MNST','US','Monster Beverage','Consumer Staples','Soft Drinks & Non-alcoholic Beverages','USD'
'MCO','US','Moody''s Corporation','Financials','Financial Exchanges & Data','USD'
'MS','US','Morgan Stanley','Financials','Investment Banking & Brokerage','USD'
'MOS','US','Mosaic CompanyThe)','Materials','Fertilizers & Agricultural Chemicals','USD'
'MSI','US','Motorola Solutions','Information Technology','Communications Equipment','USD'
'MSCI','US','MSCI','Financials','Financial Exchanges & Data','USD'
'NDAQ','US','Nasdaq, Inc.','Financials','Financial Exchanges & Data','USD'
'NTAP','US','NetApp','Information Technology','Technology Hardware, Storage & Peripherals','USD'
'NFLX','US','Netflix','Communication Services','Movies & Entertainment','USD'
'NWL','US','Newell Brands','Consumer Discretionary','Housewares & Specialties','USD'
'NEM','US','Newmont','Materials','Gold','USD'
'NWSA','US','News Corp (Class A)','Communication Services','Publishing','USD'
'NWS','US','News Corp (Class B)','Communication Services','Publishing','USD'
'NEE','US','NextEra Energy','Utilities','Multi-Utilities','USD'
'NKE','US','Nike, Inc.','Consumer Discretionary','Apparel, Accessories & Luxury Goods','USD'
'NI','US','NiSource','Utilities','Multi-Utilities','USD'
'NDSN','US','Nordson Corporation','Industrials','Industrial Machinery & Supplies & Components','USD'
'NSC','US','Norfolk Southern Railway','Industrials','Rail Transportation','USD'
'NTRS','US','Northern Trust','Financials','Asset Management & Custody Banks','USD'
'NOC','US','Northrop Grumman','Industrials','Aerospace & Defense','USD'
'NCLH','US','Norwegian Cruise Line Holdings','Consumer Discretionary','Hotels, Resorts & Cruise Lines','USD'
'NRG','US','NRG Energy','Utilities','Independent Power Producers & Energy Traders','USD'
'NUE','US','Nucor','Materials','Steel','USD'
'NVDA','US','Nvidia','Information Technology','Semiconductors','USD'
'NVR','US','NVR, Inc.','Consumer Discretionary','Homebuilding','USD'
'NXPI','US','NXP Semiconductors','Information Technology','Semiconductors','USD'
'ORLY','US','O''Reilly Auto Parts','Consumer Discretionary','Specialty Stores','USD'
'OXY','US','Occidental Petroleum','Energy','Oil & Gas Exploration & Production','USD'
'ODFL','US','Old Dominion','Industrials','Cargo Ground Transportation','USD'
'OMC','US','Omnicom Group','Communication Services','Advertising','USD'
'ON','US','ON Semiconductor','Information Technology','Semiconductors','USD'
'OKE','US','ONEOK','Energy','Oil & Gas Storage & Transportation','USD'
'ORCL','US','Oracle Corporation','Information Technology','Application Software','USD'
'OGN','US','Organon & Co.','Health Care','Pharmaceuticals','USD'
'OTIS','US','Otis Worldwide','Industrials','Industrial Machinery & Supplies & Components','USD'
'PCAR','US','Paccar','Industrials','Construction Machinery & Heavy Transportation Equipment','USD'
'PKG','US','Packaging Corporation of America','Materials','Paper & Plastic Packaging Products & Materials','USD'
'PANW','US','Palo Alto Networks','Information Technology','Application Software','USD'
'PARA','US','Paramount Global','Communication Services','Movies & Entertainment','USD'
'PH','US','Parker Hannifin','Industrials','Industrial Machinery & Supplies & Components','USD'
'PAYX','US','Paychex','Industrials','Human Resource & Employment Services','USD'
'PAYC','US','Paycom','Information Technology','Application Software','USD'
'PYPL','US','PayPal','Financials','Transaction & Payment Processing Services','USD'
'PNR','US','Pentair','Industrials','Industrial Machinery & Supplies & Components','USD'
'PEP','US','PepsiCo','Consumer Staples','Soft Drinks & Non-alcoholic Beverages','USD'
'PFE','US','Pfizer','Health Care','Pharmaceuticals','USD'
'PCG','US','PG&E Corporation','Utilities','Multi-Utilities','USD'
'PM','US','Philip Morris International','Consumer Staples','Tobacco','USD'
'PSX','US','Phillips 66','Energy','Oil & Gas Refining & Marketing','USD'
'PNW','US','Pinnacle West','Utilities','Multi-Utilities','USD'
'PXD','US','Pioneer Natural Resources','Energy','Oil & Gas Exploration & Production','USD'
'PNC','US','PNC Financial Services','Financials','Regional Banks','USD'
'POOL','US','Pool Corporation','Consumer Discretionary','Distributors','USD'
'PPG','US','PPG Industries','Materials','Specialty Chemicals','USD'
'PPL','US','PPL Corporation','Utilities','Electric Utilities','USD'
'PFG','US','Principal Financial Group','Financials','Life & Health Insurance','USD'
'PG','US','Procter & Gamble','Consumer Staples','Personal Care Products','USD'
'PGR','US','Progressive Corporation','Financials','Property & Casualty Insurance','USD'
'PLD','US','Prologis','Real Estate','Industrial REITs','USD'
'PRU','US','Prudential Financial','Financials','Life & Health Insurance','USD'
'PEG','US','Public Service Enterprise Group','Utilities','Electric Utilities','USD'
'PTC','US','PTC','Information Technology','Application Software','USD'
'PSA','US','Public Storage','Real Estate','Self-Storage REITs','USD'
'PHM','US','PulteGroup','Consumer Discretionary','Homebuilding','USD'
'QRVO','US','Qorvo','Information Technology','Semiconductors','USD'
'PWR','US','Quanta Services','Industrials','Construction & Engineering','USD'
'QCOM','US','Qualcomm','Information Technology','Semiconductors','USD'
'DGX','US','Quest Diagnostics','Health Care','Health Care Services','USD'
'RL','US','Ralph Lauren Corporation','Consumer Discretionary','Apparel, Accessories & Luxury Goods','USD'
'RJF','US','Raymond James','Financials','Investment Banking & Brokerage','USD'
'RTX','US','RTX Corporation','Industrials','Aerospace & Defense','USD'
'O','US','Realty Income','Real Estate','Retail REITs','USD'
'REG','US','Regency Centers','Real Estate','Retail REITs','USD'
'REGN','US','Regeneron','Health Care','Biotechnology','USD'
'RF','US','Regions Financial Corporation','Financials','Regional Banks','USD'
'RSG','US','Republic Services','Industrials','Environmental & Facilities Services','USD'
'RMD','US','ResMed','Health Care','Health Care Equipment','USD'
'RVTY','US','Revvity','Health Care','Health Care Equipment','USD'
'RHI','US','Robert Half','Industrials','Human Resource & Employment Services','USD'
'ROK','US','Rockwell Automation','Industrials','Electrical Components & Equipment','USD'
'ROL','US','Rollins, Inc.','Industrials','Environmental & Facilities Services','USD'
